Age,Sex,province,education,total_count,education_level
55 to 64,Female,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),120,University certificate or diploma below bachelor level
"All ages, 15-plus",Both sexes,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",23930,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,Nunavut,"No certificate, diploma or degree (2016 counts)",12140,Other
"All ages, 15-plus",Both sexes,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),3615,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),1835,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,Nunavut,"College, CEGEP or other non-university certificate or diploma (2016 counts)",3580,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,Nunavut,University certificate or diploma below bachelor level (2016 counts),220,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",12175,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,Nunavut,"No certificate, diploma or degree (2016 counts)",6175,Other
"All ages, 15-plus",Male,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),1830,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Male,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),1450,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,Nunavut,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1530,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Male,Nunavut,University certificate or diploma below bachelor level (2016 counts),90,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",11755,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,Nunavut,"No certificate, diploma or degree (2016 counts)",5960,Other
"All ages, 15-plus",Female,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),1785,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),385,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,Nunavut,"College, CEGEP or other non-university certificate or diploma (2016 counts)",2050,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,Nunavut,University certificate or diploma below bachelor level (2016 counts),125,University certificate or diploma below bachelor level
25 to 64,Both sexes,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",16480,"Highest certificate, diploma or degree"
25 to 64,Both sexes,Nunavut,"No certificate, diploma or degree (2016 counts)",6750,Other
25 to 64,Both sexes,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),2405,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),1590,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,Nunavut,"College, CEGEP or other non-university certificate or diploma (2016 counts)",3180,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,Nunavut,University certificate or diploma below bachelor level (2016 counts),200,University certificate or diploma below bachelor level
25 to 64,Male,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",8390,"Highest certificate, diploma or degree"
25 to 64,Male,Nunavut,"No certificate, diploma or degree (2016 counts)",3435,Other
25 to 64,Male,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),1270,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),1255,Apprenticeship or trades certificate or diploma
25 to 64,Male,Nunavut,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1345,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,Nunavut,University certificate or diploma below bachelor level (2016 counts),85,University certificate or diploma below bachelor level
25 to 64,Female,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",8090,"Highest certificate, diploma or degree"
25 to 64,Female,Nunavut,"No certificate, diploma or degree (2016 counts)",3315,Other
25 to 64,Female,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),1140,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),335,Apprenticeship or trades certificate or diploma
25 to 64,Female,Nunavut,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1840,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,Nunavut,University certificate or diploma below bachelor level (2016 counts),115,University certificate or diploma below bachelor level
25 to 34,Both sexes,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",5915,"Highest certificate, diploma or degree"
25 to 34,Both sexes,Nunavut,"No certificate, diploma or degree (2016 counts)",2570,Other
25 to 34,Both sexes,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),1170,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),405,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,Nunavut,"College, CEGEP or other non-university certificate or diploma (2016 counts)",985,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,Nunavut,University certificate or diploma below bachelor level (2016 counts),40,University certificate or diploma below bachelor level
25 to 34,Male,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",2925,"Highest certificate, diploma or degree"
25 to 34,Male,Nunavut,"No certificate, diploma or degree (2016 counts)",1340,Other
25 to 34,Male,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),590,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),315,Apprenticeship or trades certificate or diploma
25 to 34,Male,Nunavut,"College, CEGEP or other non-university certificate or diploma (2016 counts)",375,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Nunavut,University certificate or diploma below bachelor level (2016 counts),15,University certificate or diploma below bachelor level
25 to 34,Female,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",2990,"Highest certificate, diploma or degree"
25 to 34,Female,Nunavut,"No certificate, diploma or degree (2016 counts)",1230,Other
25 to 34,Female,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),580,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),90,Apprenticeship or trades certificate or diploma
25 to 34,Female,Nunavut,"College, CEGEP or other non-university certificate or diploma (2016 counts)",610,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Female,Nunavut,University certificate or diploma below bachelor level (2016 counts),25,University certificate or diploma below bachelor level
35 to 44,Both sexes,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",4360,"Highest certificate, diploma or degree"
35 to 44,Both sexes,Nunavut,"No certificate, diploma or degree (2016 counts)",1685,Other
35 to 44,Both sexes,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),620,Secondary (high) school diploma or equivalency certificate
35 to 44,Both sexes,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),445,Apprenticeship or trades certificate or diploma
35 to 44,Both sexes,Nunavut,"College, CEGEP or other non-university certificate or diploma (2016 counts)",850,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Both sexes,Nunavut,University certificate or diploma below bachelor level (2016 counts),50,University certificate or diploma below bachelor level
35 to 44,Male,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",2225,"Highest certificate, diploma or degree"
35 to 44,Male,Nunavut,"No certificate, diploma or degree (2016 counts)",865,Other
35 to 44,Male,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),310,Secondary (high) school diploma or equivalency certificate
35 to 44,Male,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),350,Apprenticeship or trades certificate or diploma
35 to 44,Male,Nunavut,"College, CEGEP or other non-university certificate or diploma (2016 counts)",375,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Male,Nunavut,University certificate or diploma below bachelor level (2016 counts),20,University certificate or diploma below bachelor level
35 to 44,Female,Nunavut,"Total - Highest certificate, diploma or degree (2016 counts)",2135,"Highest certificate, diploma or degree"
35 to 44,Female,Nunavut,"No certificate, diploma or degree (2016 counts)",815,Other
35 to 44,Female,Nunavut,Secondary (high) school diploma or equivalency certificate (2016 counts),315,Secondary (high) school diploma or equivalency certificate
35 to 44,Female,Nunavut,Apprenticeship or trades certificate or diploma (2016 counts),95,Apprenticeship or trades certificate or diploma
